DIA,MES,ANO,OS,MARCA,TAMANHO,COR,COLADOR,QUANTIDADE,STATUS,PAGO
21.0,9.0,2022.0,OS001080/01K,MARBELLE,M,KIDS,IDEZ,3000,TOTAL OS,N
19.0,9.0,2022.0,OS001080/03P,MARBELLE,P,PRETA,IDEZ,1000,TOTAL OS,N
5.0,9.0,2022.0,OS001063,CARIOCA DAS MARCAS,M,PRETA,IDEZ,1000,TOTAL OS,N
30.0,9.0,2022.0,OS009999/DUP,SACOLA,M,DUPLEX BRANCA,IDEZ,320,TOTAL OS,N
21.0,10.0,2022.0,OS001108/03VCp,MARBELLE,P,VERDE CLARO,IDEZ,1000,TOTAL OS,N
21.0,10.0,2022.0,OS001108/03VMp,MARBELLE,P,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
21.0,10.0,2022.0,OS001108/03VCM,MARBELLE,M,VERDE CLARO,IDEZ,1000,TOTAL OS,N
21.0,10.0,2022.0,OS001108/03PM,MARBELLE,M,PRETO,IDEZ,1000,TOTAL OS,N
25.0,11.0,22.0,OS001031,IRISBELA,M,ROSA,IDEZ,1000,TOTAL OS,N
26.0,11.0,2022.0,OS001108/3PM2,MARBELLE,M2,PRETA,IDEZ,1000,TOTAL OS,N
21.0,11.0,2022.0,OS001108/VM2,MARBELLE,M2,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
29.0,11.0,2022.0,OS000000/01HM,HM CONCEITO,M,BRANCO C/ LARANJA,IDEZ,109,TOTAL OS,N
29.0,11.0,2022.0,OS000000/01TS,TS Style,M,LILAS,IDEZ,105,TOTAL OS,N
29.0,11.0,2022.0,OS000000/01JM,JOAO E MARIA,P,COLORIDA,IDEZ,275,TOTAL OS,N
