DIA,MES,ANO,OS,MARCA,TAMANHO,COR,COLADOR,QUANTIDADE,STATUS,PAGO
29.0,11.0,2022.0,OS000000/01JM,JOAO E MARIA,P,COLORIDA,IDEZ,275,TOTAL OS,N
29.0,11.0,2022.0,OS000000/01TS,TS Style,M,LILAS,IDEZ,105,TOTAL OS,N
29.0,11.0,2022.0,OS000000/01HM,HM CONCEITO,M,BRANCO C/ LARANJA,IDEZ,109,TOTAL OS,N
21.0,11.0,2022.0,OS001108/VM2,MARBELLE,M2,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
26.0,11.0,2022.0,OS001108/3PM2,MARBELLE,M2,PRETA,IDEZ,1000,TOTAL OS,N
25.0,11.0,22.0,OS001031,IRISBELA,M,ROSA,IDEZ,1000,TOTAL OS,N
,,,OS001031,IRISBELA,M,ROSA,,350,RECEBIDO,
21.0,11.0,2022.0,OS001156,CASSIA PARENTE,M,ROSA,IDEZ,1000,TOTAL OS,N
,,,OS001156,CASSIA PARENTE,M,ROSA,,1057,RECEBIDO,
21.0,10.0,2022.0,OS001108/03PM,MARBELLE,M,PRETO,IDEZ,1000,TOTAL OS,N
,,,OS001108/03PM,MARBELLE,M,PRETO,,476,RECEBIDO,
21.0,10.0,2022.0,OS001108/03VCM,MARBELLE,M,VERDE CLARO,IDEZ,1000,TOTAL OS,N
,,,OS001108/03VCM,MARBELLE,M,VERDE CLARO,,585,RECEBIDO,
21.0,10.0,2022.0,OS001108/03VMp,MARBELLE,P,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
,,,OS001108/03VMp,MARBELLE,P,VERDE MILITAR,,500,RECEBIDO,
21.0,10.0,2022.0,OS001108/03VCp,MARBELLE,P,VERDE CLARO,IDEZ,1000,TOTAL OS,N
,,,OS001108/03VCp,MARBELLE,P,VERDE CLARO,,797,RECEBIDO,
8.0,11.0,2022.0,OSOS001134/M,SHOPPING RICOS,M,PRETA,IDEZ,1000,TOTAL OS,N
,,,OSOS001134/M,SHOPPING RICOS,M,PRETA,,1055,RECEBIDO,
8.0,11.0,2022.0,OSOS001134/P2,SHOPPING RICOS,P2,PRETA,IDEZ,1000,TOTAL OS,N
,,,OSOS001134/P2,SHOPPING RICOS,P2,PRETA,,1014,RECEBIDO,
8.0,11.0,2022.0,OSOS001134/P,SHOPPING RICOS,P,PRETA,IDEZ,1000,TOTAL OS,N
,,,OSOS001134/P,SHOPPING RICOS,P,PRETA,,1084,RECEBIDO,
8.0,11.0,2022.0,OSOS001134/PP,SHOPPING RICOS,PP,PRETA,IDEZ,1000,TOTAL OS,N
,,,OSOS001134/PP,SHOPPING RICOS,PP,PRETA,,997,RECEBIDO,
24.0,10.0,202.0,OS000000,ipe,M,TERCEIRIZADO,IDEZ,500,TOTAL OS,N
,,,OS000000,ipe,M,TERCEIRIZADO,,489,RECEBIDO,
24.0,10.0,202.0,OS001113/P,Brunyellen,M,PRETO,IDEZ,500,TOTAL OS,N
,,,OS001113/P,Brunyellen,M,PRETO,,539,RECEBIDO,
20.0,10.0,202.0,OS001113/V,Brunyellen,M,VINHO,IDEZ,500,TOTAL OS,N
,,,OS001113/V,Brunyellen,M,VINHO,,520,RECEBIDO,
18.0,10.0,202.0,OS001109/G,CASA VENEZA,G,VERMELHO,IDEZ,300,TOTAL OS,N
,,,OS001109/G,CASA VENEZA,G,VERMELHO,,351,RECEBIDO,
18.0,10.0,202.0,OS001109,CASA VENEZA,M,VERMELHO,IDEZ,300,TOTAL OS,N
,,,OS001109,CASA VENEZA,M,VERMELHO,,378,RECEBIDO,
18.0,10.0,202.0,OS001113/01,Ed Multimarcas,M,LARANJA COM BRANCO,IDEZ,500,TOTAL OS,N
,,,OS001113/01,Ed Multimarcas,M,LARANJA COM BRANCO,,520,RECEBIDO,
13.0,10.0,2022.0,OS001112,FABIOLA VAREDADES,M,VERDE,IDEZ,300,TOTAL OS,N
,,,OS001112,FABIOLA VAREDADES,M,VERDE,,381,RECEBIDO,
18.0,10.0,2022.0,OS001044/04VE,HARDY,M,VERMELHA,IDEZ,4000,TOTAL OS,N
,,,OS001044/04VE,HARDY,M,VERMELHA,,4066,RECEBIDO,
17.0,10.0,2022.0,OS001028/01,RDavila,M2,PRETA ,IDEZ,1500,TOTAL OS,N
,,,OS001028/01,RDavila,M2,PRETA ,,1569,RECEBIDO,
3.0,10.0,2022.0,OS VERMELHA ANTIGA,EXITO,M,VERMELHO,IDEZ,48,TOTAL OS,N
,,,OS VERMELHA ANTIGA,EXITO,M,VERMELHO,,84,RECEBIDO,
29.0,9.0,2022.0,OS001097/02B,PARISI,M,BRANCA,IDEZ,1000,TOTAL OS,N
,,,OS001097/02B,PARISI,M,BRANCA,,978,RECEBIDO,
29.0,9.0,2022.0,OS001097/02R,PARISI,M,SALMAO,IDEZ,1000,TOTAL OS,N
,,,OS001097/02R,PARISI,M,SALMAO,,1017,RECEBIDO,
16.0,9.0,2022.0,OS001080/02VC,MARBELLE,M,VERDE CLARO,IDEZ,1000,TOTAL OS,N
,,,OS001080/02VC,MARBELLE,M2,VERDE CLARO,,983,RECEBIDO,
30.0,9.0,2022.0,OS009999/DUP,SACOLA,M,DUPLEX BRANCA,IDEZ,320,TOTAL OS,N
,,,OS009999/DUP,SACOLA,M,DUPLEX BRANCA,,220,RECEBIDO,
21.0,9.0,2022.0,OS001051,EXITO,M,MIRINS E CIA,IDEZ,2000,TOTAL OS,N
,,,OS001051,EXITO,M,MIRINS E CIA,,2077,RECEBIDO,
5.0,9.0,2022.0,OS001063,CARIOCA DAS MARCAS,M,PRETA,IDEZ,1000,TOTAL OS,N
,,,OS001063,CARIOCA DAS MARCAS,M,PRETA,,200,RECEBIDO,
26.0,9.0,2022.0,OS001044/01VE,HARDY,M,VERMELHA,IDEZ,3000,TOTAL OS,N
,,,OS001044/01VE,HARDY,M,VERMELHA,,3097,RECEBIDO,
6.0,9.0,2022.0,OS001044,HARDY,M,PRETA,IDEZ,2000,TOTAL OS,N
,,,OS001044,HARDY,M,PRETA,,2085,RECEBIDO,
19.0,9.0,2022.0,OS001080/03M,MARBELLE,M,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
,,,OS001080/03M,MARBELLE,M,VERDE MILITAR,,948,RECEBIDO,
19.0,9.0,2022.0,OS001080/03P,MARBELLE,P,PRETA,IDEZ,1000,TOTAL OS,N
,,,OS001080/03P,MARBELLE,P,PRETA,,814,RECEBIDO,
19.0,9.0,2022.0,OS001044/01KID,HARDY,M,KIDS,IDEZ,1000,TOTAL OS,N
,,,OS001044/01KID,HARDY,M,KIDS,,1066,RECEBIDO,
26.0,9.0,2022.0,OS009999/BRA,OFSET,M,BRANCA,IDEZ,170,TOTAL OS,N
,,,OS009999/BRA,OFSET,M,BRANCA,,377,RECEBIDO,
13.0,9.0,2022.0,OS001056/01RX,EXITO,M,ROXA,IDEZ,2000,TOTAL OS,N
,,,OS001056/01RX,EXITO,M,ROXA,,2017,RECEBIDO,
21.0,9.0,2022.0,OS001080/01K,MARBELLE,M,KIDS,IDEZ,3000,TOTAL OS,N
,,,OS001080/01K,MARBELLE,M,KIDS,,2672,RECEBIDO,
13.0,9.0,2022.0,OS001056/01R,EXITO,M,ROSA,IDEZ,2000,TOTAL OS,N
,,,OS001056/01R,EXITO,M,ROSA,,1824,RECEBIDO,
1.0,10.0,2022.0,OS001096/01P,DELLAWER,P,KIDS,IDEZ,500,TOTAL OS,N
,,,OS001096/01P,DELLAWER,P,KIDS,,466,RECEBIDO,
1.0,10.0,2022.0,OS001096/01M,DELLAWER,M,ADULTO,IDEZ,500,TOTAL OS,N
,,,OS001096/01M,DELLAWER,M,ADULTO,,500,RECEBIDO,
