data,marca,produto,especificacao,deposito_enviado,quantidade
08-05-2022,bebemania,caixa,rosaeazul,deposito,88
08-05-2022,marbelle,fundo,maniaamarela,deposito,200
08-05-2022,marbelle,fundo,amarelacomrosas,deposito,124
08-05-2022,marbelle,fundo,maniaamarela,deposito,200
08-05-2022,dubali,caixa,kids,deposito,360
08-05-2022,oliver,caixa,azulescuro,deposito,100
08-05-2022,oliver,caixa,azulescuro,deposito,220
08-05-2022,eduardobaby,tapeta,16,deposito,2250
08-05-2022,oliver,caixa,azulescuro,deposito,100
08-05-2022,saidadematernidade,caixa,comum,deposito,122
08-05-2022,marbelle,caixa,kitfiotampa,deposito,155
08-05-2022,gabrielecardoso,tag,comum,deposito,1
08-05-2022,israelbaby,tapeta,16,deposito,485
08-05-2022,loli,tag,comum,deposito,1900
08-05-2022,dldvariedades,comum,comum,deposito,100
08-05-2022,dubali,tag,kids,deposito,1
08-05-2022,marbelle,fundo,maniaroxa,deposito,200
08-05-2022,mad,comum,comum,deposito,93
08-05-2022,pingodeouro,tapeta,24,deposito,1
