Equipamento,Descrição,Modelo,Marca/Tipo,Ano,Tipo Veículo,Litros,Km Rodados,Média C.,Mês,Período,Unidade
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,1053.75,2658.0,0.3964446952595937,01/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,1172.6,3178.0,0.3689741976085588,01/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,1370.0,3320.0,0.4126506024096386,02/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,1357.0,3626.0,0.3742415885273028,02/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,1970.0,5177.0,0.38052926405254006,03/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,878.0,3137.0,0.2798852406758049,03/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,1748.0,4527.0,0.38612767837419926,04/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,1607.0,3525.0,0.45588652482269504,04/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,2349.0,5577.0,0.42119419042495965,05/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,544.0,1323.0,0.41118669690098264,05/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,3067.0,6938.0,0.4420582300374748,06/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,2678.0,6601.0,0.4056961066505075,07/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,2462.0,6430.0,0.3828926905132193,09/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,2267.0,5935.0,0.3819713563605729,09/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,639.2,1663.0,0.384365604329525,10/2016,2016.0,CAETÉ
HJV4852,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,1951.19,4057.0,0.4809440473256101,10/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,2417.6800000000003,5935.0,0.40735973041280543,10/2016,2016.0,CAETÉ
HCS5780,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011,TOCO,1222.0,431.30999999999995,2.8332290000231857,11/2016,2016.0,CAETÉ
HJV4852,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,1494.1522499999999,3336.0,0.4478873651079136,11/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,2107.617,3886.0,0.5423615542974781,11/2016,2016.0,CAETÉ
HOF5392,CAMINHÃO COMPACTADOR TOCO,17250,VOLKSWAGEM,2011/2012,TOCO,313.654,726.0,0.43203030303030304,01/2017,2017.0,CAETÉ
OPT9924,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,2577.4139999999998,6112.0,0.4216973167539267,01/2017,2017.0,CAETÉ
OPT9930,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,1941.0459999999998,3688.0,0.5263139913232103,01/2017,2017.0,CAETÉ
OPT9924,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,2275.062,5684.0,0.4002572132301196,02/2017,2017.0,CAETÉ
OPT9930,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,2012.8689999999997,4571.0,0.4403563771603587,02/2017,2017.0,CAETÉ
OPT9924,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,2297.312,6066.0,0.37871941971645234,03/2017,2017.0,CAETÉ
OPT9930,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,2278.385,5077.0,0.44876600354540086,03/2017,2017.0,CAETÉ
OPT9924,CAMINHÃO COMPACTADOR TOCO,1723,FORD,2013,TOCO,1585.374,3617.0,0.43831186065800387,04/2017,2017.0,CAETÉ
